2023-06-08 06:48:27,492 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-06-08 06:48:27,645 [INFO ] | main | io.vertx.mod.feign.FeignDepotTc | [1;30m[ μηδέν ] [m[ TEST ] Endpoint: null, Config: {"client_id":"client-id","client_secret":"client-secret"} 
2023-06-08 06:48:27,657 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "tvk" missing in uniform extension configuration data {} 
2023-06-08 07:08:52,805 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-06-08 07:08:52,958 [INFO ] | main | io.vertx.mod.feign.FeignDepotTc | [1;30m[ μηδέν ] [m[ TEST ] Endpoint: null, Config: {"client_id":"client-id","client_secret":"client-secret"} 
2023-06-08 07:08:52,970 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "tvk" missing in uniform extension configuration data {} 
2023-06-08 14:42:53,287 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-06-08 14:42:53,446 [INFO ] | main | io.vertx.mod.feign.FeignDepotTc | [1;30m[ μηδέν ] [m[ TEST ] Endpoint: null, Config: {"client_id":"client-id","client_secret":"client-secret"} 
2023-06-08 14:42:53,459 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "tvk" missing in uniform extension configuration data {} 
2023-06-08 14:48:53,030 [WARN ] | main | io.netty.resolver.dns.DnsServerAddressStreamProviders | Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos' 
2023-06-08 14:48:53,182 [INFO ] | main | io.vertx.mod.feign.FeignDepotTc | [1;30m[ μηδέν ] [m[ TEST ] Endpoint: null, Config: {"client_id":"client-id","client_secret":"client-secret"} 
2023-06-08 14:48:53,194 [WARN ] | main | io.vertx.up.plugin.init.TpConfig | [ ERR-10005 ] ( TpConfig ) Booting Error: (V) - The dynamic key "tvk" missing in uniform extension configuration data {} 
